21.11.2024, 08:35
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	    2686	422141	                3352889	               3525975	   158	
Remaining:       	    2685	421943	                3351478	               3524484	   157	
Unique:          	    2653	422002	                3352159	               3525135	   157	
Unique Remaining:	    2652	421804	                3350748	               3523644	   156	


Individual File Statistics:

File Name                                          	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
books/paper_manuscript_brisanceWarning.2911.txt    	             7	                 7	              7	                        7	         45	             45	          45	                    45	                          244	                              244	                           244	                                     244	                         275	                             275	                          275	                                    275	
dialogs/dialog_guard_offDutyA.2947.txt             	             7	                 7	              7	                        7	       3243	           3243	        3243	                  3243	                        27022	                            27022	                         27022	                                   27022	                       28191	                           28191	                        28191	                                  28191	
quests/quest_findSmugglers.3022.txt                	             7	                 7	              7	                        7	        772	            772	         772	                   772	                         5495	                             5495	                          5495	                                    5495	                        5880	                            5880	                         5880	                                   5880	
books/page_flowers_16.3007.txt                     	             6	                 6	              6	                        6	         54	             54	          54	                    54	                          246	                              246	                           246	                                     246	                         295	                             295	                          295	                                    295	
dialogs/dialog_duinlan_departure.2630.txt          	             6	                 6	              6	                        6	       3474	           3474	        3474	                  3474	                        29817	                            29817	                         29817	                                   29817	                       30976	                           30976	                        30976	                                  30976	
quests/quest_getCompass.2529.txt                   	             6	                 6	              6	                        6	       1349	           1349	        1349	                  1349	                         9066	                             9066	                          9066	                                    9066	                        9709	                            9709	                         9709	                                   9709	
books/page_costume_duinlan.3044.txt                	             5	                 5	              5	                        5	         78	             78	          78	                    78	                          393	                              393	                           393	                                     393	                         459	                             459	                          459	                                    459	
books/page_costume_thief.2690.txt                  	             5	                 5	              5	                        5	         74	             74	          74	                    74	                          332	                              332	                           332	                                     332	                         393	                             393	                          393	                                    393	
books/page_flowers_12.3120.txt                     	             5	                 5	              5	                        5	         80	             80	          80	                    80	                          380	                              380	                           380	                                     380	                         455	                             455	                          455	                                    455	
books/page_flowers_15.2949.txt                     	             5	                 5	              5	                        5	         64	             64	          64	                    64	                          265	                              265	                           265	                                     265	                         324	                             324	                          324	                                    324	
books/page_flowers_2.2588.txt                      	             5	                 5	              5	                        5	         89	             89	          89	                    89	                          392	                              392	                           392	                                     392	                         476	                             476	                          476	                                    476	
books/page_flowers_3.3106.txt                      	             5	                 5	              5	                        5	         83	             83	          83	                    83	                          367	                              367	                           367	                                     367	                         445	                             445	                          445	                                    445	
books/page_flowers_5.2386.txt                      	             5	                 5	              5	                        5	         61	             61	          61	                    61	                          257	                              257	                           257	                                     257	                         313	                             313	                          313	                                    313	
books/page_flowers_7.2880.txt                      	             5	                 5	              5	                        5	         87	             87	          87	                    87	                          356	                              356	                           356	                                     356	                         439	                             439	                          439	                                    439	
books/page_flowers_8.3063.txt                      	             5	                 5	              5	                        5	         83	             83	          83	                    83	                          369	                              369	                           369	                                     369	                         449	                             449	                          449	                                    449	
books/page_flowers_9.2698.txt                      	             5	                 5	              5	                        5	         84	             84	          84	                    84	                          364	                              364	                           364	                                     364	                         447	                             447	                          447	                                    447	
books/paper_manuscript_prayerMessage.2371.txt      	             5	                 5	              5	                        5	         80	             80	          80	                    80	                          358	                              358	                           358	                                     358	                         422	                             422	                          422	                                    422	
quests/quest_findSecondChest.3027.txt              	             5	                 5	              5	                        5	        472	            472	         472	                   472	                         3186	                             3186	                          3186	                                    3186	                        3425	                            3425	                         3425	                                   3425	
songs/song_gustoAndFatale.3151.txt                 	             5	                 5	              5	                        5	        147	            147	         147	                   147	                          629	                              629	                           629	                                     629	                         726	                             726	                          726	                                    726	
books/page_costume_guard.3130.txt                  	             5	                 5	              4	                        4	         58	             58	          48	                    48	                          275	                              275	                           228	                                     228	                         322	                             322	                          268	                                    268	
